State,ApplicationCount
Michigan,32044
Texas,104442
New Jersey,78938
Colorado,10183
Florida,32301
California,184932
Pennsylvania,35546
Massachusetts,37871
Virginia,30530
Wisconsin,10915
Illinois,54197
District Of Columbia,6174
North Carolina,28384
Rhode Island,4091
Ohio,25535
Georgia,38609
New York,86985
Washington,35315
Indiana,9568
Maryland,16708
Missouri,11860
Nevada,2014
New Hampshire,3126
Minnesota,15531
South Carolina,4419
Arizona,14369
Tennessee,8417
Mississippi,1160
Hawaii,829
Utah,4447
Delaware,5735
Na,854
Kansas,4100
Connecticut,15941
Maine,1047
Nebraska,3028
Oklahoma,3068
Arkansas,4960
Kentucky,3833
Puerto Rico,283
Alaska,294
Iowa,4646
Oregon,7419
Wyoming,200
Louisiana,3708
New Mexico,1540
West Virginia,871
South Dakota,540
North Dakota,806
Alabama,2995
Vermont,537
Idaho,1281
Montana,285
